β=0.25  f_sim=-2.8993  f_th=-2.8976
β=0.333  f_sim=-2.2467  f_th=-2.2461
β=0.417  f_sim=-1.8704  f_th=-1.8719
β=0.5  f_sim=-1.6339  f_th=-1.6363
β=0.583  f_sim=-1.4801  f_th=-1.4799
β=0.667  f_sim=-1.355  f_th=-1.3731
β=0.75  f_sim=-1.3032  f_th=-1.2992
β=0.833  f_sim=-1.2803  f_th=-1.2484
β=0.917  f_sim=-1.1957  f_th=-1.2145
β=1.0  f_sim=-1.1845  f_th=-1.1931
β=1.083  f_sim=-1.231  f_th=-1.1815
β=1.167  f_sim=-1.1769  f_th=-1.1775
β=1.25  f_sim=-1.1138  f_th=-1.1774
β=1.333  f_sim=-1.0659  f_th=-1.1774
β=1.417  f_sim=-1.0631  f_th=-1.1774
β=1.5  f_sim=-1.0888  f_th=-1.1774
β=1.583  f_sim=-1.0873  f_th=-1.1774
β=1.667  f_sim=-1.2483  f_th=-1.1774
β=1.75  f_sim=-1.0753  f_th=-1.1774
β=1.833  f_sim=-1.0928  f_th=-1.1774
β=1.917  f_sim=-1.0429  f_th=-1.1774
β=2.0  f_sim=-1.067  f_th=-1.1774
β=2.083  f_sim=-1.0891  f_th=-1.1774
β=2.167  f_sim=-1.0485  f_th=-1.1774
β=2.25  f_sim=-1.246  f_th=-1.1774
